id,timestamp,id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
88,1778416121980,86.0,0.60235226,0.16116793,0.23428197,2.9946141,0.93569285,-3.506672
89,1778416121990,87.0,0.60235226,0.16116793,0.23428197,2.9946141,0.93569285,-3.506672
90,1778416122000,88.0,0.3758756,0.18183987,0.25544173,2.32984,0.4822781,-3.4797938
91,1778416122010,89.0,0.3758756,0.18183987,0.25544173,2.32984,0.4822781,-3.4797938
92,1778416122020,90.0,0.2397701,-0.240014,0.5693625,1.1748465,0.030390546,-2.9868257
93,1778416122030,91.0,0.16921718,-0.35514265,0.7337623,0.37965274,0.30757064,-2.2467623
94,1778416122040,92.0,0.16921718,-0.35514265,0.7337623,0.37965274,0.30757064,-2.2467623
95,1778416122050,93.0,-0.07488242,-0.3231286,0.82736534,-0.6614143,1.4934129,-0.52641314
96,1778416122060,94.0,-0.12506826,-0.3635578,0.5714358,-0.85994554,1.9856175,0.4465425
97,1778416122070,95.0,-0.023476979,-0.51344454,0.22513509,-0.96776325,1.9468275,1.5682437
98,1778416122080,96.0,0.037990022,-0.5717407,0.08226089,-1.0535898,1.658041,2.2576053
99,1778416122090,97.0,0.2672717,-0.7584589,-0.295627,-1.2425,0.5209153,3.562108
100,1778416122100,98.0,0.2672717,-0.7584589,-0.295627,-1.2425,0.5209153,3.562108
101,1778416122110,99.0,0.9082237,-0.910297,-0.18995011,-1.1210904,-1.3643675,5.1634912
102,1778416122120,100.0,1.2405602,-0.93066406,-0.019330395,-0.79641557,-1.8472565,5.7786326
103,1778416122130,101.0,1.513137,-0.86102587,0.0600035,-0.4558582,-1.8585575,6.116594
104,1778416122140,102.0,1.6528404,-0.7850458,0.084761046,-0.2947425,-1.6447546,6.21815
105,1778416122150,103.0,1.7508948,-0.6954674,0.07366284,-0.40882155,-1.2292136,6.2039475
106,1778416122160,104.0,1.7622979,-0.61131614,-0.015915563,-0.84711736,-0.8205447,6.0474133
107,1778416122170,105.0,1.7338817,-0.59290045,-0.05725944,-1.2814425,-0.60231316,5.9137864
108,1778416122180,106.0,1.7107705,-0.61918247,-0.07305304,-1.6759088,-0.3733914,5.8765235
109,1778416122190,107.0,1.7172954,-0.57503355,-0.14976484,-1.7986927,-0.25335637,5.908594
110,1778416122200,108.0,1.6901597,-0.43337893,-0.26916206,-1.7150042,-0.37323865,5.857281
111,1778416122210,109.0,1.7046115,-0.3017859,-0.2564174,-1.422247,-0.7318166,5.7450347
112,1778416122220,110.0,1.7757744,-0.14805742,-0.1428132,-1.0111347,-1.0633637,5.6731057
113,1778416122230,111.0,1.8129716,0.032014064,-0.006829667,-0.69058317,-1.1893547,5.6575284
114,1778416122240,112.0,1.8312653,0.33623913,0.014574022,-0.2950479,-1.1734722,5.2998667
115,1778416122250,113.0,1.7775427,0.55960584,0.08494398,0.0071776668,-1.0957395,4.6558623
116,1778416122260,114.0,1.6394858,0.66802675,0.110616215,0.18127427,-0.9243918,4.0193405
117,1778416122270,115.0,1.4944165,0.6261341,0.0705529,0.30665436,-0.6780604,3.3001995
118,1778416122280,116.0,1.3311143,0.58905876,-0.007927292,0.35521814,-0.49510628,2.8301387
119,1778416122290,117.0,1.2182418,0.5567398,-0.14104481,0.39706242,-0.5148067,2.545781
120,1778416122300,118.0,1.211839,0.5307017,-0.22989148,0.44593164,-0.70081514,2.4397957
121,1778416122310,119.0,1.2521462,0.5618011,-0.26574722,0.50885075,-1.0955868,2.4141395
