id,timestamp,id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
481,1778446502470,482.0,1.4527981,0.021100918,-0.7964373,0.0,0.0,0.0
482,1778446502480,483.0,1.4527981,0.021100918,-0.7964373,0.0,0.0,0.0
483,1778446502490,484.0,1.4527981,0.021100918,-0.7964373,0.0,0.0,0.0
484,1778446502500,485.0,1.4527981,0.021100918,-0.7964373,0.0,0.0,0.0
485,1778446502510,486.0,1.4527981,0.021100918,-0.7964373,0.0,0.0,0.0
486,1778446502520,487.0,1.4527981,0.021100918,-0.7964373,0.0,0.0,0.0
487,1778446502530,488.0,1.4527981,0.021100918,-0.7964373,0.0,0.0,0.0
488,1778446502540,489.0,1.4247706,0.031804282,-0.8296636,0.0,0.0,0.0
489,1778446502550,490.0,1.4247705999999998,0.031804282,-0.8296636,0.0,0.0,0.0
490,1778446502560,491.0,1.42655195,0.0319571885,-0.82553515,0.0,0.0,0.0
491,1778446502570,492.0,1.4283333,0.032110095,-0.8214067000000002,0.0,0.0,0.0
492,1778446502580,493.0,1.4283333,0.032110095,-0.8214067000000002,0.0,0.0,0.0
493,1778446502590,494.0,1.4283333,0.032110095,-0.8214067,0.0,0.0,0.0
494,1778446502600,495.0,1.4283333,0.032110095,-0.8214067000000002,0.0,0.0,0.0
495,1778446502610,496.0,1.4283333,0.032110095,-0.8214067000000002,0.0,0.0,0.0
496,1778446502620,497.0,1.4283333,0.032110095,-0.8214067000000002,0.0,0.0,0.0
497,1778446502630,498.0,1.4283333,0.032110095,-0.8214067,0.0,0.0,0.0
498,1778446502640,499.0,1.4283333,0.032110095,-0.8214067000000002,0.0,0.0,0.0
499,1778446502650,500.0,1.39982415,0.03173165175,-0.820110805,0.0,0.0,0.0
500,1778446502660,501.0,1.3624515666666668,0.0110754330399999,-0.88851684,0.0,0.0,0.0
501,1778446502670,502.0,1.3485167999999998,0.00081039756,-0.92293584,0.0,0.0,0.0
502,1778446502680,503.0,1.3485168,0.00081039756,-0.92293584,0.0,0.0,0.0
503,1778446502690,504.0,1.3485167999999998,0.00081039756,-0.92293584,0.0,0.0,0.0
504,1778446502700,505.0,1.3485167999999998,0.00081039756,-0.92293584,0.0,0.0,0.0
505,1778446502710,506.0,1.3446483,-0.06610856122,-1.10009937,0.0,0.0,0.0
506,1778446502720,507.0,1.3407798,-0.13302752,-1.2772629,0.0,0.0,0.0
507,1778446502730,508.0,1.3407798,-0.13302752,-1.2772629,0.0,0.0,0.0
508,1778446502740,509.0,1.3407798,-0.13302752,-1.2772629,0.0,0.0,0.0
509,1778446502750,510.0,1.3407798,-0.13302752,-1.2772629,0.0,0.0,0.0
510,1778446502760,511.0,1.36547025,-0.1571903674999999,-1.3657263,0.0,0.0,0.0
511,1778446502770,512.0,1.3737004,-0.16524465,-1.3952140999999998,0.0,0.0,0.0
512,1778446502780,513.0,1.3737004,-0.16524465,-1.3952140999999998,0.0,0.0,0.0
513,1778446502790,514.0,1.3737004,-0.16524465,-1.3952141,0.0,0.0,0.0
514,1778446502800,515.0,1.3737004,-0.16524465,-1.3952140999999998,0.0,0.0,0.0
515,1778446502810,516.0,1.3737004,-0.16524465,-1.3952141,0.0,0.0,0.0
516,1778446502820,517.0,1.3815444,-0.23047401,-1.4379206,0.0,0.0,0.0
517,1778446502830,518.0,1.3815444,-0.23047401,-1.4379206,0.0,0.0,0.0
518,1778446502840,519.0,1.3815444,-0.23047401,-1.4379206,0.0,0.0,0.0
519,1778446502850,520.0,1.3815444,-0.23047401,-1.4379206,0.0,0.0,0.0
520,1778446502860,521.0,1.3837207333333332,-0.2592558566666667,-1.4384659333333332,0.0,0.0,0.0
521,1778446502870,522.0,1.3880734,-0.31681955,-1.4395566,0.0,0.0,0.0
522,1778446502880,523.0,1.3880734,-0.31681955,-1.4395566000000002,0.0,0.0,0.0
523,1778446502890,524.0,1.3880734,-0.31681955,-1.4395566000000002,0.0,0.0,0.0
524,1778446502900,525.0,1.3880734,-0.31681955,-1.4395566000000002,0.0,0.0,0.0
525,1778446502910,526.0,1.3880734,-0.31681955,-1.4395566,0.0,0.0,0.0
526,1778446502920,527.0,1.4154638000000002,-0.4383995966666666,-1.2445107333333334,0.0,0.0,0.0
527,1778446502930,528.0,1.429159,-0.4991896199999999,-1.1469878,0.0,0.0,0.0
528,1778446502940,529.0,1.429159,-0.4991896199999999,-1.1469878,0.0,0.0,0.0
529,1778446502950,530.0,1.429159,-0.49918962,-1.1469878,0.0,0.0,0.0
530,1778446502960,531.0,1.4545005333333334,-0.5816870733333334,-1.0254179666666667,0.0,0.0,0.0
531,1778446502970,532.0,1.4671712999999995,-0.6229358,-0.96463305,0.0,0.0,0.0
532,1778446502980,533.0,1.4671713,-0.6229358,-0.96463305,0.0,0.0,0.0
533,1778446502990,534.0,1.4671712999999995,-0.6229358,-0.96463305,0.0,0.0,0.0
534,1778446503000,535.0,1.475963325,-0.6635588925,-0.9252828975,0.0,0.0,0.0
535,1778446503010,536.0,1.5023394,-0.78542817,-0.80723244,0.0,0.0,0.0
536,1778446503020,537.0,1.5023394,-0.78542817,-0.80723244,0.0,0.0,0.0
537,1778446503030,538.0,1.5023394,-0.78542817,-0.80723244,0.0,0.0,0.0
538,1778446503040,539.0,1.5023394,-0.78542817,-0.80723244,0.0,0.0,0.0
539,1778446503050,540.0,1.4598318,-0.8879664,-0.6409786,0.0,0.0,0.0
540,1778446503060,541.0,1.4094087999999998,-0.9114832133333334,-0.6037359999999999,0.0,0.0,0.0
541,1778446503070,542.0,1.1352702,-0.9911977466666668,-0.4309837,0.0,0.0,0.0
542,1778446503080,543.0,0.9461468333333332,-1.0578338,-0.33788481,0.0,0.0,0.0
543,1778446503090,544.0,0.8949083,-1.0829816,-0.31590214,0.0,0.0,0.0
544,1778446503100,545.0,0.8949083,-1.0829816,-0.31590214,0.0,0.0,0.0
545,1778446503110,546.0,0.8949083,-1.0829816,-0.31590214,0.0,0.0,0.0
546,1778446503120,547.0,0.8949083,-1.0829816,-0.31590214,0.0,0.0,0.0
547,1778446503130,548.0,0.8949083,-1.0829816,-0.31590214,0.0,0.0,0.0
548,1778446503140,549.0,0.8949083,-1.0829816,-0.31590214,0.0,0.0,0.0
549,1778446503150,550.0,0.8949083,-1.0829816,-0.31590214,0.0,0.0,0.0
550,1778446503160,551.0,0.8949083,-1.0829816,-0.31590214,0.0,0.0,0.0
551,1778446503170,552.0,0.8949083,-1.0829816,-0.31590214,0.0,0.0,0.0
552,1778446503180,553.0,0.8949083,-1.0829816,-0.31590214,0.0,0.0,0.0
553,1778446503190,554.0,0.5775739333333333,-1.1526299333333334,-0.1519215076666666,0.0,0.0,0.0
554,1778446503200,555.0,0.3003058,-1.1620796,-0.012737003,0.0,0.0,0.0
555,1778446503210,556.0,0.3003058,-1.1620796,-0.012737003,0.0,0.0,0.0
556,1778446503220,557.0,0.0553211,-1.2082874666666663,0.0911671723333333,0.0,0.0,0.0
557,1778446503230,558.0,-0.06717125,-1.2313914,0.14311926,0.0,0.0,0.0
558,1778446503240,559.0,-0.06717125,-1.2313914,0.14311926,0.0,0.0,0.0
559,1778446503250,560.0,-0.0796075399999999,-1.2323445333333334,0.1441743066666666,0.0,0.0,0.0
560,1778446503260,561.0,-0.10448012,-1.2342508,0.1462844,0.0,0.0,0.0
561,1778446503270,562.0,-0.10448012,-1.2342508,0.1462844,0.0,0.0,0.0
562,1778446503280,563.0,-0.10448012,-1.2342508,0.1462844,0.0,0.0,0.0
563,1778446503290,564.0,-0.10448012,-1.2342508,0.1462844,0.0,0.0,0.0
564,1778446503300,565.0,-0.10448012,-1.2342508,0.1462844,0.0,0.0,0.0
565,1778446503310,566.0,-0.10448012,-1.2342508,0.1462844,0.0,0.0,0.0
566,1778446503320,567.0,-0.10448012,-1.2342508,0.1462844,0.0,0.0,0.0
567,1778446503330,568.0,-0.10448012,-1.2342508,0.1462844,0.0,0.0,0.0
568,1778446503340,569.0,-0.16207442,-1.2466208333333333,0.1879408733333333,0.0,0.0,0.0
569,1778446503350,570.0,-0.27726302,-1.2713609,0.27125382,0.0,0.0,0.0
